user_id,shelf,isbn,title,author,num_pages,publication_year,publisher,my_rating,average_rating,ratings_count,links
40732498,read,0767920708,Feeling Good Together: The Secret to Making Troubled Relationships Work,David D. Burns,,,,5.0,4.16,4.16,www.goodreads.com/book/show/5680626-feeling-good-together
40732498,read,,Feeling Good: The New Mood Therapy,David D. Burns,,,,4.0,4.03,4.03,www.goodreads.com/book/show/19986488-feeling-good
40732498,read,,Felsefe Muhabbetleri,David Edmonds,248.0,2016-01-01,Maya Kitap,2.0,3.63,3.63,www.goodreads.com/book/show/29634595-felsefe-muhabbetleri
40732498,read,0813332958,Feminist Thought: A More Comprehensive Introduction,Rosemarie Tong,368.0,1998-01-01,Westview Press,4.0,3.93,3.93,www.goodreads.com/book/show/385205.Feminist_Thought
40732498,read,8466318704,La fiesta del Chivo,Mario Vargas Llosa,526.0,2001-01-01,Punto de Lectura,5.0,4.29,4.29,www.goodreads.com/book/show/962174.La_fiesta_del_Chivo
40732498,read,,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,468.0,2015-01-01,Orbit,3.0,4.28,4.28,www.goodreads.com/book/show/19161852-the-fifth-season
40732498,read,9875660434,El fin de la eternidad,Isaac Asimov,,,,4.0,4.24,4.24,www.goodreads.com/book/show/401024.El_fin_de_la_eternidad
40732498,read,076531178X,"The Final Empire (Mistborn, #1)",Brandon Sanderson,544.0,2006-01-01,Tor Books,4.0,4.44,4.44,www.goodreads.com/book/show/68428.The_Final_Empire
40732498,read,,Florencia y Bagdad,Hans Belting,,,,2.0,3.94,3.94,www.goodreads.com/book/show/26763721-florencia-y-bagdad
40732498,read,1439190755,Flourish: A Visionary New Understanding of Happiness and Well-Being,Martin E.P. Seligman,349.0,2011-01-01,Free Press,2.0,3.85,3.85,www.goodreads.com/book/show/9744812-flourish
40732498,read,0060510862,"The Forever War (The Forever War, #1)",Joe Haldeman,278.0,2003-01-01,Voyager,3.0,4.14,4.14,www.goodreads.com/book/show/21611.The_Forever_War
40732498,read,0192805576,Foucault: A Very Short Introduction,Gary Gutting,135.0,2005-01-01,Oxford University Press,3.0,3.74,3.74,www.goodreads.com/book/show/74640.Foucault
40732498,read,0553803719,"Foundation (Foundation, #1)",Isaac Asimov,244.0,2004-01-01,Bantam,3.0,4.17,4.17,www.goodreads.com/book/show/29579.Foundation
40732498,read,0553803727,Foundation and Empire (Foundation #2),Isaac Asimov,256.0,2004-01-01,Spectra Books,2.0,4.22,4.22,www.goodreads.com/book/show/29581.Foundation_and_Empire
40732498,read,0061234001,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,320.0,2006-01-01,William Morrow,2.0,3.98,3.98,www.goodreads.com/book/show/1202.Freakonomics
40732498,read,8420672955,Fundamentación para una metafísica de las costumbres,Immanuel Kant,222.0,2009-01-01,Alianza Editorial,2.0,3.83,3.83,www.goodreads.com/book/show/1196716.Fundamentaci_n_para_una_metaf_sica_de_las_costumbres
40732498,read,0553588486,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,835.0,2005-01-01,Bantam,2.0,4.45,4.45,www.goodreads.com/book/show/13496.A_Game_of_Thrones
40732498,read,0345475836,"Gateway (Heechee Saga, #1)",Frederik Pohl,278.0,2004-01-01,Del Rey,3.0,4.07,4.07,www.goodreads.com/book/show/218427.Gateway
